Nom,Calorie,Lipide,Glucide,Proteine
Frite,456,23,13,2.1
Sardine,142,0,22,6
Chocolat,500,24,7,64
Cereales nature,489,65,12,22
Couscous,120,22,3.5,2
Huile d'olive,900,0,0,100
Hutres,73,4.5,9,2
Laitue,17,2.6,1.3,0
Oeuf,149,1,12.5,10
Pain complet,240,50,8,0.8
Pizza jambon-fromage,254,36,9.5,8
Raisin,74,16,0.9,0.7
Riz blanc (cuit),132,29,2.7,0
The,1,0,0,0
Vin rouge,74,1.8,0,0
Yaourt aux fruits,115,19.6,3,2.7
Yaourt nature,65,4.6,4,3.5
Prune,53,11,0.8,0
Petits pois,90,15,6.5,0.5
Pche,49,11.5,0.6,0
Langouste,98,0.5,17,2
Lait entier liquide,63,4.9,3.4,3.4
Haricots verts,35,6,2.3,0
Homard,94,1,18,2
Foie gras,477,5,13,45
Dorade,91,0,16,3
Eau minrale,0,0,0,0
Epinard,27,4,2.3,0
Crevettes,105,0.5,19,3
Concombre,12,2,0.7,0
